Index,Instrument,Event Title,Date,pre_start,pre_end,post_start,post_end,PT_pre_mean,PT_post_mean,Rec_pre_mean,Rec_post_mean,PT_pre_count,PT_post_count,Rec_pre_count,Rec_post_count,PT_pre_ema_01,PT_post_ema_01,Rec_pre_ema_01,Rec_post_ema_01,PT_pre_ema_03,PT_post_ema_03,Rec_pre_ema_03,Rec_post_ema_03,REC_1_pre_count,REC_1_post_count,REC_2_pre_count,REC_2_post_count,REC_3_pre_count,REC_3_post_count,REC_4_pre_count,REC_4_post_count,REC_5_pre_count,REC_5_post_count
47,AAPL.O,Q1 2013 Apple Inc. Earnings Conference Call,2013-01-23,2012-11-23,2013-01-22,2013-01-23,2013-02-23,23.943098148148100,22.125871000000000,2.142857142857140,2.8,27.0,40.0,7.0,5.0,23.030453944323200,22.275154547552000,2.1591976355900500,2.75580571903006,21.250764227960900,23.22615411788410,2.2175646875477100,2.6393927373697300,3.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0
48,AAPL.O,Q2 2013 Apple Inc. Earnings Conference Call,2013-04-23,2013-02-23,2013-04-22,2013-04-23,2013-05-23,19.40209888888890,18.186958235294100,1.5,2.857142857142860,27.0,34.0,6.0,7.0,18.979453553174000,17.89968474028600,1.4544763839772600,2.8292132057486300,18.084330243214000,17.92585334422620,1.3403645488020100,2.7917496916293500,3.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
49,AAPL.O,Q3 2013 Apple Inc. Earnings Conference Call,2013-07-23,2013-05-23,2013-07-22,2013-07-23,2013-08-23,17.45128181818180,18.065109411764700,1.75,2.0,11.0,17.0,4.0,2.0,17.55735126872530,18.259768240469300,1.764466414655420,2.0,17.81617593006220,18.452689097525500,1.8065534938807700,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,AAPL.O,Q4 2013 Apple Inc. Earnings Conference Call,2013-10-28,2013-08-28,2013-10-27,2013-10-28,2013-11-28,20.133185675675700,21.127530714285700,2.4444444444444400,1.0,37.0,28.0,9.0,1.0,19.81687309203340,21.105812117882700,2.309344818560920,1.0,19.817320515809200,21.081181104210700,2.0422476754980000,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
51,AAPL.O,Q1 2014 Apple Inc. Earnings Conference Call,2014-01-27,2013-11-27,2014-01-26,2014-01-27,2014-02-27,22.848617142857100,20.84075375,2.6666666666666700,2.5714285714285700,21.0,24.0,3.0,7.0,23.125692722569800,20.782768165358300,2.7011070110701100,2.570360804833250,23.443198181130100,20.539303556942200,2.7762557077625600,2.5724987323538900,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0
52,AAPL.O,Q2 2014 Apple Inc. Earnings Conference Call,2014-04-23,2014-02-23,2014-04-22,2014-04-23,2014-05-23,22.00890625,22.740794285714300,1.8,1.6666666666666700,8.0,35.0,5.0,3.0,22.07157758082940,22.347454553937000,1.8022026324143500,1.6309963099631000,22.110007282745000,22.46454665005660,1.823302441311170,1.54337899543379,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,AAPL.O,Q3 2014 Apple Inc Earnings Call,2014-07-22,2014-05-22,2014-07-21,2014-07-22,2014-08-22,25.369265849056600,26.930555555555600,1.75,1.75,53.0,18.0,4.0,,26.61549754190390,26.406749451831200,1.7382960162838000,,25.712468607125100,26.044392930425500,1.7236478484011100,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,AAPL.O,Q4 2014 Apple Inc Earnings Call,2014-10-20,2014-08-20,2014-10-19,2014-10-20,2014-11-20,28.137096774193500,30.31451612903230,2.0,2.0,31.0,31.0,7.0,,28.46770063826350,29.773172719295300,1.901252455659170,,28.467407917331200,29.493003222811800,1.7380096697450900,,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
55,AAPL.O,Q1 2015 Apple Inc Earnings Call,2015-01-27,2014-11-27,2015-01-26,2015-01-27,2015-02-27,32.5,34.2171052631579,2.25,2.25,14.0,38.0,4.0,,31.879289655510300,33.4446015300924,2.2617039837162000,,30.793881803881200,32.96554179514280,2.2763521515988900,,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,AAPL.O,Q2 2015 Apple Inc Earnings Call,2015-04-27,2015-02-27,2015-04-26,2015-04-27,2015-05-27,36.23,38.60576923076920,2.6,2.0,25.0,26.0,5.0,2.0,36.194501081587600,38.049312977111400,2.5116114380601200,1.9473684210526300,35.72300101163320,37.894205978202400,2.2787854747394600,1.8235294117647100,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
